PRCTILE,GOOD_ON_DUR,GOOD_OFF_DUR,AVG_ON_DUR,AVG_OFF_DUR,POOR_ON_DUR,POOR_OFF_DUR
0,1,1,1,1,1,1
0.001,1.0044,1.0013,1.0022,1.0014,1.002,1.002
0.002,1.0088,1.0025,1.0043,1.0027,1.0041,1.0041
0.003,1.0132,1.0038,1.0065,1.0041,1.0061,1.0061
0.004,1.0176,1.0051,1.0087,1.0054,1.0082,1.0082
0.005,1.022,1.0063,1.0108,1.0068,1.0102,1.0102
0.006,1.0263,1.0076,1.013,1.0081,1.0123,1.0122
0.007,1.0307,1.0089,1.0151,1.0095,1.0143,1.0143
0.008,1.0351,1.0102,1.0173,1.0108,1.0164,1.0163
0.009,1.0395,1.0114,1.0195,1.0122,1.0184,1.0184
0.01,1.0439,1.0127,1.0216,1.0135,1.0205,1.0204
0.011,1.0483,1.014,1.0238,1.0149,1.0225,1.0224
0.012,1.0527,1.0152,1.026,1.0163,1.0246,1.0245
0.013,1.0571,1.0165,1.0281,1.0176,1.0266,1.0265
0.014,1.0615,1.0178,1.0303,1.019,1.0287,1.0285
0.015,1.0659,1.019,1.0324,1.0203,1.0307,1.0306
0.016,1.0703,1.0203,1.0346,1.0217,1.0328,1.0326
0.017,1.0747,1.0216,1.0368,1.023,1.0348,1.0347
0.018,1.079,1.0228,1.0389,1.0244,1.0369,1.0367
0.019,1.0834,1.0241,1.0411,1.0257,1.0389,1.0387
0.02,1.0878,1.0254,1.0433,1.0271,1.041,1.0408
0.021,1.0922,1.0266,1.0454,1.0285,1.043,1.0428
0.022,1.0966,1.0279,1.0476,1.0298,1.0451,1.0449
0.023,1.101,1.0292,1.0497,1.0312,1.0471,1.0469
0.024,1.1054,1.0305,1.0519,1.0325,1.0492,1.0489
0.025,1.1098,1.0317,1.0541,1.0339,1.0512,1.051
0.026,1.1142,1.033,1.0562,1.0352,1.0533,1.053
0.027,1.1186,1.0343,1.0584,1.0366,1.0553,1.0551
0.028,1.123,1.0355,1.0606,1.0379,1.0574,1.0571
0.029,1.1273,1.0368,1.0627,1.0393,1.0594,1.0591
0.03,1.1317,1.0381,1.0649,1.0406,1.0615,1.0612
0.031,1.1361,1.0393,1.0671,1.042,1.0635,1.0632
0.032,1.1405,1.0406,1.0692,1.0434,1.0656,1.0653
0.033,1.1449,1.0419,1.0714,1.0447,1.0676,1.0673
0.034,1.1493,1.0431,1.0735,1.0461,1.0697,1.0693
0.035,1.1537,1.0444,1.0757,1.0474,1.0717,1.0714
0.036,1.1581,1.0457,1.0779,1.0488,1.0737,1.0734
0.037,1.1625,1.0469,1.08,1.0501,1.0758,1.0755
0.038,1.1669,1.0482,1.0822,1.0515,1.0778,1.0775
0.039,1.1713,1.0495,1.0844,1.0528,1.0799,1.0795
0.04,1.1757,1.0507,1.0865,1.0542,1.0819,1.0816
0.041,1.18,1.052,1.0887,1.0555,1.084,1.0836
0.042,1.1844,1.0533,1.0908,1.0569,1.086,1.0856
0.043,1.1888,1.0546,1.093,1.0583,1.0881,1.0877
0.044,1.1932,1.0558,1.0952,1.0596,1.0901,1.0897
